Description,Department
Water scarcity despite regular complaints,Water Supply
Unauthorized vendors inside public parks,Parks and Recreation
Lack of sanitation workers in area,Sanitation
Improper road dividers creating confusion,Road Maintenance
Unauthorized sewage connections detected,Sewage
Dim streetlights reducing visibility,Electrical Department
Electricity pole fallen after storm,Electrical Department
Need CCTV surveillance in public parks,Parks and Recreation
Public transport lacks safety features,Public Transportation
"Park gate broken, allowing trespassers",Parks and Recreation
Improper road dividers creating confusion,Road Maintenance
Tankers charging extra for water supply,Water Supply
Garden maintenance neglected for months,Parks and Recreation
Tankers charging extra for water supply,Water Supply
Need CCTV surveillance in public parks,Parks and Recreation
Roadside trees blocking traffic signals,Road Maintenance
Lack of sanitation workers in area,Sanitation
Dim streetlights reducing visibility,Electrical Department
Need additional streetlights in dark spots,Electrical Department
Loose hanging wires on street poles,Electrical Department
Broken public hand pump needs repair,Water Supply
Electricity pole fallen after storm,Electrical Department
Electricity pole fallen after storm,Electrical Department
Dogs littering jogging tracks,Parks and Recreation
Metro station lacks proper ventilation,Public Transportation
Garbage burning causing respiratory issues,Sanitation
Sewage mixing with stormwater drainage,Sewage
Electricity pole fallen after storm,Electrical Department
No regular cleaning of drainage,Sanitation
Speed breaker needs repainting,Road Maintenance
Lack of sanitation workers in area,Sanitation
Encroachment reducing road width,Road Maintenance
Broken drainage pipes causing leakage,Sewage
Hotels dumping food waste on roads,Sanitation
Broken swings in children’s play area,Parks and Recreation
Broken seats in city buses,Public Transportation
Broken public hand pump needs repair,Water Supply
Open sewer emitting unbearable stench,Sewage
Frequent short circuits in market area,Electrical Department
Potholes causing frequent accidents,Road Maintenance
Rickshaws blocking main road near station,Public Transportation
Need CCTV surveillance in public parks,Parks and Recreation
No proper groundwater recharge facilities,Water Supply
Broken public hand pump needs repair,Water Supply
Loose hanging wires on street poles,Electrical Department
Overhead tank overflowing daily,Water Supply
Garden maintenance neglected for months,Parks and Recreation
Broken seats in city buses,Public Transportation
Public electric meters left open,Electrical Department
Water scarcity despite regular complaints,Water Supply
Autos refusing to go by meter,Public Transportation
Hotels dumping food waste on roads,Sanitation
Rickshaws blocking main road near station,Public Transportation
Unauthorized sewage connections detected,Sewage
Auto drivers misbehaving with passengers,Public Transportation
Broken public hand pump needs repair,Water Supply
Illegal parking obstructing emergency lanes,Road Maintenance
Need additional streetlights in dark spots,Electrical Department
Blocked stormwater drains before monsoon,Sewage
Need more waste segregation bins,Sanitation
Speed breaker needs repainting,Road Maintenance
Fountain water stagnant and dirty,Parks and Recreation
Speed breaker needs repainting,Road Maintenance
Broken swings in children’s play area,Parks and Recreation
No pedestrian crossings near bus stand,Public Transportation
Water scarcity despite regular complaints,Water Supply
Unauthorized digging damaging underground cables,Electrical Department
Stray cows eating plastic waste,Sanitation
Unauthorized vendors inside public parks,Parks and Recreation
Leakage in underground water pipeline,Water Supply
Dogs littering jogging tracks,Parks and Recreation
Broken drainage pipes causing leakage,Sewage
Roadside trees blocking traffic signals,Road Maintenance
"Park gate broken, allowing trespassers",Parks and Recreation
Frequent short circuits in market area,Electrical Department
Need additional drainage system expansion,Sewage
Lack of ramps for disabled commuters,Public Transportation
Need more tree plantations in parks,Parks and Recreation
Improper road dividers creating confusion,Road Maintenance
Transformer oil leakage causing hazard,Electrical Department
Improper road dividers creating confusion,Road Maintenance
Dim streetlights reducing visibility,Electrical Department
Frequent short circuits in market area,Electrical Department
Broken seats in city buses,Public Transportation
Irregular municipal water supply timings,Water Supply
Auto drivers misbehaving with passengers,Public Transportation
Damaged dustbins causing litter accumulation,Parks and Recreation
No proper sewage treatment in locality,Sewage
Damaged dustbins causing litter accumulation,Parks and Recreation
Leakage in underground water pipeline,Water Supply
Broken seats in city buses,Public Transportation
Dim streetlights reducing visibility,Electrical Department
Garden maintenance neglected for months,Parks and Recreation
Unauthorized digging damaging underground cables,Electrical Department
Lack of ramps for disabled commuters,Public Transportation
Damaged pedestrian sidewalk needs repair,Road Maintenance
Metro station lacks proper ventilation,Public Transportation
Autos refusing to go by meter,Public Transportation
Broken public hand pump needs repair,Water Supply
Sunken road patch causing vehicle imbalance,Road Maintenance
Bus timings not being followed,Public Transportation
Unauthorized sewage connections detected,Sewage
Lack of proper lighting in parks,Parks and Recreation
Broken swings in children’s play area,Parks and Recreation
Tankers charging extra for water supply,Water Supply
Sunken road patch causing vehicle imbalance,Road Maintenance
Overhead tank overflowing daily,Water Supply
Leakage in underground water pipeline,Water Supply
No pedestrian crossings near bus stand,Public Transportation
Tankers charging extra for water supply,Water Supply
Sewage mixing with stormwater drainage,Sewage
Unauthorized vendors inside public parks,Parks and Recreation
Speed breaker needs repainting,Road Maintenance
Dogs littering jogging tracks,Parks and Recreation
Metro station lacks proper ventilation,Public Transportation
Speed breaker needs repainting,Road Maintenance
Transformer oil leakage causing hazard,Electrical Department
Power fluctuations damaging appliances,Electrical Department
Loose hanging wires on street poles,Electrical Department
Need CCTV surveillance in public parks,Parks and Recreation
Fountain water stagnant and dirty,Parks and Recreation
Encroachment reducing road width,Road Maintenance
Encroachment reducing road width,Road Maintenance
Dogs littering jogging tracks,Parks and Recreation
Public electric meters left open,Electrical Department
Sewage pipeline burst flooding streets,Sewage
Metro station lacks proper ventilation,Public Transportation
Improper road dividers creating confusion,Road Maintenance
Lack of proper lighting in parks,Parks and Recreation
Roadside trees blocking traffic signals,Road Maintenance
Overloaded transformers sparking at night,Electrical Department
Sunken road patch causing vehicle imbalance,Road Maintenance
Speed breaker needs repainting,Road Maintenance
Loose hanging wires on street poles,Electrical Department
Old rusted pipelines contaminating water,Water Supply
Recycling collection not being done,Sanitation
Recycling collection not being done,Sanitation
Lack of ramps for disabled commuters,Public Transportation
Potholes causing frequent accidents,Road Maintenance
Dump yard overflowing with uncollected waste,Sanitation
Fountain water stagnant and dirty,Parks and Recreation
Electricity pole fallen after storm,Electrical Department
Overhead tank overflowing daily,Water Supply
Fountain water stagnant and dirty,Parks and Recreation
Public toilets lack proper maintenance,Sanitation
Illegal borewells reducing groundwater levels,Water Supply
Water scarcity despite regular complaints,Water Supply
Electricity pole fallen after storm,Electrical Department
Overloaded transformers sparking at night,Electrical Department
Sewage mixing with stormwater drainage,Sewage
Unauthorized vendors inside public parks,Parks and Recreation
Lack of ramps for disabled commuters,Public Transportation
Stray cows eating plastic waste,Sanitation
Broken drainage pipes causing leakage,Sewage
No pedestrian crossings near bus stand,Public Transportation
Potholes causing frequent accidents,Road Maintenance
Lack of proper lighting in parks,Parks and Recreation
Need more tree plantations in parks,Parks and Recreation
Frequent waterlogging damaging road surface,Road Maintenance
Overloaded transformers sparking at night,Electrical Department
Frequent short circuits in market area,Electrical Department
Sewage pipeline burst flooding streets,Sewage
Blocked stormwater drains before monsoon,Sewage
Power fluctuations damaging appliances,Electrical Department
Need additional bus stops in locality,Public Transportation
No pedestrian crossings near bus stand,Public Transportation
Broken drainage pipes causing leakage,Sewage
Dogs littering jogging tracks,Parks and Recreation
Transformer oil leakage causing hazard,Electrical Department
Drain covers missing causing accidents,Sewage
Dump yard overflowing with uncollected waste,Sanitation
Roadside trees blocking traffic signals,Road Maintenance
Unauthorized vendors inside public parks,Parks and Recreation
Sewage mixing with stormwater drains,Sewage
Lack of sanitation workers in area,Sanitation
Fountain water stagnant and dirty,Parks and Recreation
Untreated water supply causing illness,Water Supply
Stray cows eating plastic waste,Sanitation
No proper sewage treatment in locality,Sewage
Drain covers missing causing accidents,Sewage
Lack of sanitation workers in area,Sanitation
Need more waste segregation bins,Sanitation
Lack of proper lighting in parks,Parks and Recreation
Blocked stormwater drainage before monsoon,Sewage
Lack of proper lighting in parks,Parks and Recreation
Need CCTV surveillance in public parks,Parks and Recreation
Potholes causing frequent accidents,Road Maintenance
Autos refusing to go by meter,Public Transportation
Need additional streetlights in dark spots,Electrical Department
Lack of ramps for disabled commuters,Public Transportation
Lack of ramps for disabled commuters,Public Transportation
No proper groundwater recharge facilities,Water Supply
Roadside trees blocking traffic signals,Road Maintenance
Unauthorized vendors inside public parks,Parks and Recreation
Auto drivers misbehaving with passengers,Public Transportation
Garden maintenance neglected for months,Parks and Recreation
Unauthorized digging damaging underground cables,Electrical Department
Broken swings in children’s play area,Parks and Recreation
Public toilets lack proper maintenance,Sanitation
Garden maintenance neglected for months,Parks and Recreation
Loose hanging wires on street poles,Electrical Department
Fountain water stagnant and dirty,Parks and Recreation
Improper road dividers creating confusion,Road Maintenance
Frequent waterlogging damaging road surface,Road Maintenance
Dim streetlights reducing visibility,Electrical Department
Frequent waterlogging damaging road surface,Road Maintenance
Speed breaker needs repainting,Road Maintenance
Metro station lacks proper ventilation,Public Transportation
Hotels dumping food waste on roads,Sanitation
Garden maintenance neglected for months,Parks and Recreation
Unauthorized digging damaging underground cables,Electrical Department
Dogs littering jogging tracks,Parks and Recreation
Improper road dividers creating confusion,Road Maintenance
No pedestrian crossings near bus stand,Public Transportation
Auto drivers misbehaving with passengers,Public Transportation
Old rusted pipelines contaminating water,Water Supply
Unauthorized vendors inside public parks,Parks and Recreation
Rickshaws blocking main road near station,Public Transportation
Bus timings not being followed,Public Transportation
Autos refusing to go by meter,Public Transportation
Dump yard overflowing with uncollected waste,Sanitation
Frequent short circuits in market area,Electrical Department
Overhead tank overflowing daily,Water Supply
Broken swings in children’s play area,Parks and Recreation
Hotels dumping food waste on roads,Sanitation
Broken seats in city buses,Public Transportation
Fountain water stagnant and dirty,Parks and Recreation
Illegal borewells reducing groundwater levels,Water Supply
Potholes causing frequent accidents,Road Maintenance
Public transport lacks safety features,Public Transportation
Garbage burning causing respiratory issues,Sanitation
Damaged dustbins causing litter accumulation,Parks and Recreation
Water scarcity despite regular complaints,Water Supply
Sludge accumulation in sewage lines,Sewage
Open sewer emitting unbearable stench,Sewage
Broken drainage pipes causing leakage,Sewage
Encroachment reducing road width,Road Maintenance
Garbage burning causing respiratory issues,Sanitation
Lack of ramps for disabled commuters,Public Transportation
Lack of ramps for disabled commuters,Public Transportation
Illegal borewells reducing groundwater levels,Water Supply
Public toilets lack proper maintenance,Sanitation
Old rusted pipelines contaminating water,Water Supply
Need CCTV surveillance in public parks,Parks and Recreation
Recycling collection not being done,Sanitation
Heavy truck movement damaging roads,Road Maintenance
Stray cows eating plastic waste,Sanitation
No pedestrian crossings near bus stand,Public Transportation
Potholes causing frequent accidents,Road Maintenance
Unauthorized vendors inside public parks,Parks and Recreation
Fountain water stagnant and dirty,Parks and Recreation
Encroachment reducing road width,Road Maintenance
Dogs littering jogging tracks,Parks and Recreation
Sewage mixing with stormwater drainage,Sewage
Sewage mixing with stormwater drainage,Sewage
Improper road dividers creating confusion,Road Maintenance
Sewage pipeline burst flooding streets,Sewage
Speed breaker needs repainting,Road Maintenance
Metro station lacks proper ventilation,Public Transportation
Garbage burning causing respiratory issues,Sanitation
No pedestrian crossings near bus stand,Public Transportation
Unauthorized digging damaging underground cables,Electrical Department
Autos refusing to go by meter,Public Transportation
Sunken road patch causing vehicle imbalance,Road Maintenance
Sewage mixing with stormwater drains,Sewage
Old rusted pipelines contaminating water,Water Supply
Open sewer emitting unbearable stench,Sewage
Need more tree plantations in parks,Parks and Recreation
Overhead tank overflowing daily,Water Supply
Rickshaws blocking main road near station,Public Transportation
Sewage pipeline burst flooding streets,Sewage
Drain covers missing causing accidents,Sewage
Frequent waterlogging damaging road surface,Road Maintenance
Tankers charging extra for water supply,Water Supply
Leakage in underground water pipeline,Water Supply
Damaged dustbins causing litter accumulation,Parks and Recreation
Blocked stormwater drains before monsoon,Sewage
Broken seats in city buses,Public Transportation
Encroachment reducing road width,Road Maintenance
Encroachment reducing road width,Road Maintenance
Garbage burning causing respiratory issues,Sanitation
Improper road dividers creating confusion,Road Maintenance
Metro station lacks proper ventilation,Public Transportation
Frequent short circuits in market area,Electrical Department
Hotels dumping food waste on roads,Sanitation
Lack of ramps for disabled commuters,Public Transportation
Sludge accumulation in sewage lines,Sewage
Unauthorized sewage connections detected,Sewage
Rickshaws blocking main road near station,Public Transportation
Public toilets lack proper maintenance,Sanitation
Illegal parking obstructing emergency lanes,Road Maintenance
Damaged pedestrian sidewalk needs repair,Road Maintenance
Overloaded transformers sparking at night,Electrical Department
Power fluctuations damaging appliances,Electrical Department
Fountain water stagnant and dirty,Parks and Recreation
Electricity pole fallen after storm,Electrical Department
Stray cows eating plastic waste,Sanitation
Illegal borewells reducing groundwater levels,Water Supply
Frequent short circuits in market area,Electrical Department
Stray cows eating plastic waste,Sanitation
Frequent short circuits in market area,Electrical Department
Speed breaker needs repainting,Road Maintenance
Sewage pipeline burst flooding streets,Sewage
Garbage burning causing respiratory issues,Sanitation
Need additional bus stops in locality,Public Transportation
Need additional bus stops in locality,Public Transportation
Improper road dividers creating confusion,Road Maintenance
Dump yard overflowing with uncollected waste,Sanitation
No proper sewage treatment in locality,Sewage
Unauthorized electric pole installations,Electrical Department
Public parks closed too early,Parks and Recreation
Drain covers frequently stolen,Sewage
Pavement tiles missing near bus stop,Road Maintenance
Unregulated fares in private transport,Public Transportation
Bus frequency too low during peak hours,Public Transportation
Power theft causing fluctuations,Electrical Department
Highway barricades placed haphazardly,Road Maintenance
Lack of seating arrangements in parks,Parks and Recreation
Pavement tiles missing near bus stop,Road Maintenance
Illegal vendors encroaching on footpaths,Road Maintenance
Damaged sculptures in heritage parks,Parks and Recreation
Construction work damaging sewage pipes,Sewage
Highway barricades placed haphazardly,Road Maintenance
Drainage system unable to handle monsoon,Sewage
Overflowing sewer emitting foul odor,Sanitation
Public toilet doors missing in market,Sanitation
Public parks closed too early,Parks and Recreation
Unattended electric sparks from transformer,Electrical Department
Damaged bridge railing poses danger,Road Maintenance
Broken tiles in jogging tracks,Parks and Recreation
Broken tiles in jogging tracks,Parks and Recreation
Auto stands need better organization,Public Transportation
Pipeline contamination causing health issues,Water Supply
Unattended electric sparks from transformer,Electrical Department
No real-time bus tracking available,Public Transportation
Garbage collection irregular in residential area,Sanitation
Overflowing sewer emitting foul odor,Sanitation
Flyover expansion needed due to traffic,Road Maintenance
Clogged drain creating stagnant water,Sewage
Broken tiles in jogging tracks,Parks and Recreation
Water scarcity in summer months,Water Supply
No real-time bus tracking available,Public Transportation
Crowded buses due to lack of fleet,Public Transportation
Unfinished roadwork causing traffic congestion,Road Maintenance
Auto stands need better organization,Public Transportation
Broken streetlights causing safety concerns,Electrical Department
Damaged electric meters need replacement,Electrical Department
Construction work damaging sewage pipes,Sewage
Unregulated fares in private transport,Public Transportation
Sewage tankers dumping waste illegally,Sewage
Abandoned parks attracting illegal activities,Parks and Recreation
Unattended electric sparks from transformer,Electrical Department
Drain cleaning not done for months,Sanitation
Lack of seating arrangements in parks,Parks and Recreation
Sewage tankers dumping waste illegally,Sewage
Damaged sculptures in heritage parks,Parks and Recreation
Inconsistent municipal water supply schedule,Water Supply
Unattended electric sparks from transformer,Electrical Department
Faulty wiring in public washrooms,Electrical Department
More borewells needed in village area,Water Supply
Auto stands need better organization,Public Transportation
Frequent power cuts disrupting businesses,Electrical Department
Need additional water storage tanks,Water Supply
Need solar-powered lights in villages,Electrical Department
Auto stands need better organization,Public Transportation
Illegal vendors encroaching on footpaths,Road Maintenance
Construction work damaging sewage pipes,Sewage
Need more female-only buses,Public Transportation
Need bio-toilets to prevent sewage overflow,Sewage
More borewells needed in village area,Water Supply
Drain cleaning not done for months,Sanitation
No real-time bus tracking available,Public Transportation
Pipeline contamination causing health issues,Water Supply
Narrow roads causing frequent accidents,Road Maintenance
Open sewage line near school,Sewage
Garbage collection irregular in residential area,Sanitation
Broken speed bumps causing vehicle damage,Road Maintenance
Frequent power cuts disrupting businesses,Electrical Department
Unauthorized electric pole installations,Electrical Department
Pipeline contamination causing health issues,Water Supply
Narrow roads causing frequent accidents,Road Maintenance
Neglected greenery in city gardens,Parks and Recreation
Faulty wiring in public washrooms,Electrical Department
Unfinished roadwork causing traffic congestion,Road Maintenance
No pedestrian pathways near shopping malls,Road Maintenance
Construction work damaging sewage pipes,Sewage
Roadside parking reducing bus maneuverability,Public Transportation
Need more playgrounds in residential areas,Parks and Recreation
Garbage collection irregular in residential area,Sanitation
Illegal vendors encroaching on footpaths,Road Maintenance
Voltage surges damaging household appliances,Electrical Department
Public water taps left running unattended,Water Supply
Public park lacks drinking water facility,Parks and Recreation
Dumped medical waste near hospital,Sanitation
Unhygienic conditions inside city buses,Public Transportation
Public parks closed too early,Parks and Recreation
Voltage surges damaging household appliances,Electrical Department
Drainage system unable to handle monsoon,Sewage
Public dustbins not being emptied regularly,Sanitation
Need more playgrounds in residential areas,Parks and Recreation
Need electric buses to reduce pollution,Public Transportation
Railway station lacks proper seating areas,Public Transportation
Flyover expansion needed due to traffic,Road Maintenance
Water tankers not reaching rural areas,Water Supply
Frequent power cuts disrupting businesses,Electrical Department
Roadside parking reducing bus maneuverability,Public Transportation
Inconsistent municipal water supply schedule,Water Supply
Unattended electric sparks from transformer,Electrical Department
Leaking septic tanks near houses,Sewage
Need solar-powered lights in villages,Electrical Department
Water scarcity in summer months,Water Supply
Sewage tankers dumping waste illegally,Sewage
Railway station lacks proper seating areas,Public Transportation
Drain cleaning not done for months,Sanitation
Voltage surges damaging household appliances,Electrical Department
Need solar-powered lights in villages,Electrical Department
No proper sanitation near street food stalls,Sanitation
Railway station lacks proper seating areas,Public Transportation
Highway barricades placed haphazardly,Road Maintenance
Pipeline repairs causing temporary water cuts,Water Supply
Unattended electric sparks from transformer,Electrical Department
Need solar-powered lights in villages,Electrical Department
Drain cleaning not done for months,Sanitation
Unhygienic conditions inside city buses,Public Transportation
Illegal borewells reducing water availability,Water Supply
Roadside parking reducing bus maneuverability,Public Transportation
Leaking septic tanks near houses,Sewage
Damaged electric meters need replacement,Electrical Department
Construction work damaging sewage pipes,Sewage
Need solar-powered lights in villages,Electrical Department
Water leakage eroding road surface,Road Maintenance
Public parks closed too early,Parks and Recreation
Water tankers not reaching rural areas,Water Supply
Railway station lacks proper seating areas,Public Transportation
Highway barricades placed haphazardly,Road Maintenance
Pavement tiles missing near bus stop,Road Maintenance
Damaged bridge railing poses danger,Road Maintenance
Foul odor from sewer affecting businesses,Sewage
Garbage collection irregular in residential area,Sanitation
Frequent power cuts disrupting businesses,Electrical Department
Unauthorized electric pole installations,Electrical Department
Leaking septic tanks near houses,Sewage
Construction work damaging sewage pipes,Sewage
Faulty wiring in public washrooms,Electrical Department
Need more playgrounds in residential areas,Parks and Recreation
Railway station lacks proper seating areas,Public Transportation
Bus frequency too low during peak hours,Public Transportation
Faulty wiring in public washrooms,Electrical Department
Garbage collection irregular in residential area,Sanitation
No real-time bus tracking available,Public Transportation
Drain cleaning not done for months,Sanitation
Illegal vendors encroaching on footpaths,Road Maintenance
No proper sewage treatment in industrial area,Sewage
Crowded buses due to lack of fleet,Public Transportation
Bus frequency too low during peak hours,Public Transportation
No proper sewage treatment in industrial area,Sewage
Auto stands need better organization,Public Transportation
Pavement tiles missing near bus stop,Road Maintenance
Public parks closed too early,Parks and Recreation
Public water taps left running unattended,Water Supply
Narrow roads causing frequent accidents,Road Maintenance
Auto stands need better organization,Public Transportation
No proper sanitation near street food stalls,Sanitation
Need electric buses to reduce pollution,Public Transportation
Auto stands need better organization,Public Transportation
Open sewage line near school,Sewage
No real-time bus tracking available,Public Transportation
Broken speed bumps causing vehicle damage,Road Maintenance
Public water taps left running unattended,Water Supply
Illegal vendors encroaching on footpaths,Road Maintenance
Abandoned parks attracting illegal activities,Parks and Recreation
Broken tiles in jogging tracks,Parks and Recreation
Need more female-only buses,Public Transportation
Public parks closed too early,Parks and Recreation
Railway station lacks proper seating areas,Public Transportation
Pipeline contamination causing health issues,Water Supply
No real-time bus tracking available,Public Transportation
Leaking septic tanks near houses,Sewage
Damaged bridge railing poses danger,Road Maintenance
Damaged bridge railing poses danger,Road Maintenance
Public toilet doors missing in market,Sanitation
More borewells needed in village area,Water Supply
Public dustbins not being emptied regularly,Sanitation
Need additional water storage tanks,Water Supply
Leaking septic tanks near houses,Sewage
Neglected greenery in city gardens,Parks and Recreation
Construction work damaging sewage pipes,Sewage
Need rainwater harvesting implementation,Water Supply
Pavement tiles missing near bus stop,Road Maintenance
No pedestrian pathways near shopping malls,Road Maintenance
Leaking septic tanks near houses,Sewage
No proper sanitation near street food stalls,Sanitation
Pipeline repairs causing temporary water cuts,Water Supply
Sewage tankers dumping waste illegally,Sewage
Water leakage eroding road surface,Road Maintenance
Power theft causing fluctuations,Electrical Department
Drainage system unable to handle monsoon,Sewage
Need more playgrounds in residential areas,Parks and Recreation
Drain covers frequently stolen,Sewage
Damaged electric meters need replacement,Electrical Department
Vermin infestation near garbage dump,Sanitation
Garbage collection irregular in residential area,Sanitation
Frequent power cuts disrupting businesses,Electrical Department
Pavement tiles missing near bus stop,Road Maintenance
Unattended electric sparks from transformer,Electrical Department
Need bio-toilets to prevent sewage overflow,Sewage
Need more playgrounds in residential areas,Parks and Recreation
Unattended electric sparks from transformer,Electrical Department
Streetlight poles bent dangerously,Electrical Department
Public park lacks drinking water facility,Parks and Recreation
Narrow roads causing frequent accidents,Road Maintenance
Neglected greenery in city gardens,Parks and Recreation
Roadside parking reducing bus maneuverability,Public Transportation
Public dustbins not being emptied regularly,Sanitation
Unfinished roadwork causing traffic congestion,Road Maintenance
Unregulated fares in private transport,Public Transportation
Public parks closed too early,Parks and Recreation
Foul odor from sewer affecting businesses,Sewage
Clogged drain creating stagnant water,Sewage
Need electric buses to reduce pollution,Public Transportation
Unhygienic conditions inside city buses,Public Transportation
Public dustbins not being emptied regularly,Sanitation
Foul odor from sewer affecting businesses,Sewage
Unfinished roadwork causing traffic congestion,Road Maintenance
No proper sewage treatment in industrial area,Sewage
Sewage tankers dumping waste illegally,Sewage
Public park lacks drinking water facility,Parks and Recreation
Mosquito breeding due to stagnant garbage,Sanitation
Unhygienic conditions inside city buses,Public Transportation
Dumped medical waste near hospital,Sanitation
Damaged electric meters need replacement,Electrical Department
Need electric buses to reduce pollution,Public Transportation
Water scarcity in summer months,Water Supply
Water leakage eroding road surface,Road Maintenance
Public park lacks drinking water facility,Parks and Recreation
Water scarcity in summer months,Water Supply
Foul odor from sewer affecting businesses,Sewage
Frequent power cuts disrupting businesses,Electrical Department
Need additional water storage tanks,Water Supply
Vermin infestation near garbage dump,Sanitation
Public dustbins not being emptied regularly,Sanitation
Pipeline repairs causing temporary water cuts,Water Supply
Broken tiles in jogging tracks,Parks and Recreation
No proper sewage treatment in industrial area,Sewage
Water tankers not reaching rural areas,Water Supply
Illegal vendors encroaching on footpaths,Road Maintenance
Need more playgrounds in residential areas,Parks and Recreation
Drainage system unable to handle monsoon,Sewage
Unhygienic conditions inside city buses,Public Transportation
Need bio-toilets to prevent sewage overflow,Sewage
Highway barricades placed haphazardly,Road Maintenance
Public water taps left running unattended,Water Supply
Power theft causing fluctuations,Electrical Department
Broken speed bumps causing vehicle damage,Road Maintenance
Broken tiles in jogging tracks,Parks and Recreation
No proper sanitation near street food stalls,Sanitation
Pipeline repairs causing temporary water cuts,Water Supply
Broken streetlights causing safety concerns,Electrical Department
Illegal vendors encroaching on footpaths,Road Maintenance
Unauthorized electric pole installations,Electrical Department
Illegal vendors encroaching on footpaths,Road Maintenance
Clogged drain creating stagnant water,Sewage
Need bio-toilets to prevent sewage overflow,Sewage
Voltage surges damaging household appliances,Electrical Department
Damaged sculptures in heritage parks,Parks and Recreation
Pavement tiles missing near bus stop,Road Maintenance
Pipeline repairs causing temporary water cuts,Water Supply
Need additional water storage tanks,Water Supply
Inconsistent municipal water supply schedule,Water Supply
Pavement tiles missing near bus stop,Road Maintenance
Neglected greenery in city gardens,Parks and Recreation
Roadside parking reducing bus maneuverability,Public Transportation
Public dustbins not being emptied regularly,Sanitation
Narrow roads causing frequent accidents,Road Maintenance
Drain cleaning not done for months,Sanitation
Water scarcity in summer months,Water Supply
Faulty wiring in public washrooms,Electrical Department
Roadside parking reducing bus maneuverability,Public Transportation
Clogged drain creating stagnant water,Sewage
Unauthorized electric pole installations,Electrical Department
Need electric buses to reduce pollution,Public Transportation
Narrow roads causing frequent accidents,Road Maintenance
Streetlight poles bent dangerously,Electrical Department
Overflowing sewer emitting foul odor,Sanitation
Public parks closed too early,Parks and Recreation
Unattended electric sparks from transformer,Electrical Department
Damaged electric meters need replacement,Electrical Department
Sewage tankers dumping waste illegally,Sewage
Public dustbins not being emptied regularly,Sanitation
Overflowing sewer emitting foul odor,Sanitation
Railway station lacks proper seating areas,Public Transportation
Unauthorized electric pole installations,Electrical Department
No waste segregation in apartment complex,Sanitation
Pavement tiles missing near bus stop,Road Maintenance
Water tankers not reaching rural areas,Water Supply
Mosquito breeding due to stagnant garbage,Sanitation
Clogged drain creating stagnant water,Sewage
Illegal encroachments inside recreational areas,Parks and Recreation
Roadside parking reducing bus maneuverability,Public Transportation
Clogged drain creating stagnant water,Sewage
Inconsistent municipal water supply schedule,Water Supply
Need solar-powered lights in villages,Electrical Department
Need solar-powered lights in villages,Electrical Department
No pedestrian pathways near shopping malls,Road Maintenance
Need more playgrounds in residential areas,Parks and Recreation
Pipeline repairs causing temporary water cuts,Water Supply
Leaking septic tanks near houses,Sewage
Unfinished roadwork causing traffic congestion,Road Maintenance
Damaged sculptures in heritage parks,Parks and Recreation
No pedestrian pathways near shopping malls,Road Maintenance
Mosquito breeding due to stagnant garbage,Sanitation
Frequent power cuts disrupting businesses,Electrical Department
Unattended electric sparks from transformer,Electrical Department
Drain cleaning not done for months,Sanitation
Dumped medical waste near hospital,Sanitation
Foul odor from sewer affecting businesses,Sewage
Inconsistent municipal water supply schedule,Water Supply
Garbage collection irregular in residential area,Sanitation
Damaged sculptures in heritage parks,Parks and Recreation
Water scarcity in summer months,Water Supply
Unattended electric sparks from transformer,Electrical Department
Need additional water storage tanks,Water Supply
Public toilet doors missing in market,Sanitation
Pipeline contamination causing health issues,Water Supply
No real-time bus tracking available,Public Transportation
Unfinished roadwork causing traffic congestion,Road Maintenance
Public parks closed too early,Parks and Recreation
Need more female-only buses,Public Transportation
More borewells needed in village area,Water Supply
Frequent power cuts disrupting businesses,Electrical Department
Foul odor from sewer affecting businesses,Sewage
Need solar-powered lights in villages,Electrical Department
Pavement tiles missing near bus stop,Road Maintenance
Broken streetlights causing safety concerns,Electrical Department
Voltage surges damaging household appliances,Electrical Department
Pipeline repairs causing temporary water cuts,Water Supply
Flyover expansion needed due to traffic,Road Maintenance
Power theft causing fluctuations,Electrical Department
Need rainwater harvesting implementation,Water Supply
Crowded buses due to lack of fleet,Public Transportation
Drainage system unable to handle monsoon,Sewage
Neglected greenery in city gardens,Parks and Recreation
Unregulated fares in private transport,Public Transportation
Public parks closed too early,Parks and Recreation
Unfinished roadwork causing traffic congestion,Road Maintenance
Drain covers frequently stolen,Sewage
Drain covers frequently stolen,Sewage
Inconsistent municipal water supply schedule,Water Supply
Need more cycling tracks in parks,Parks and Recreation
Unhygienic conditions inside city buses,Public Transportation
Bus frequency too low during peak hours,Public Transportation
Need more cycling tracks in parks,Parks and Recreation
Foul odor from sewer affecting businesses,Sewage
Streetlight poles bent dangerously,Electrical Department
Drainage system unable to handle monsoon,Sewage
Public dustbins not being emptied regularly,Sanitation
Damaged electric meters need replacement,Electrical Department
Public toilet doors missing in market,Sanitation
Unfinished roadwork causing traffic congestion,Road Maintenance
Inconsistent municipal water supply schedule,Water Supply
Frequent power cuts disrupting businesses,Electrical Department
Railway station lacks proper seating areas,Public Transportation
Open sewage line near school,Sewage
Bus frequency too low during peak hours,Public Transportation
Highway barricades placed haphazardly,Road Maintenance
Garbage collection irregular in residential area,Sanitation
Broken speed bumps causing vehicle damage,Road Maintenance
Narrow roads causing frequent accidents,Road Maintenance
Unattended electric sparks from transformer,Electrical Department
Unhygienic conditions inside city buses,Public Transportation
